PLAYER,SKATER SHOOTS,POSITION,GAMES PLAYED,GOALS,ASSISTS,POINTS,PENALTY MINUTES,SHOTS,SHOOTING PERCENTAGE,TEAM ID
Nikita Kucherov,L,R,78,37,84,121,45,265,14,TBL
Nathan MacKinnon,R,C,79,32,84,116,41,320,10,COL
Leon Draisaitl,L,C,71,52,54,106,34,240,21.7,EDM
David Pastrnak,R,R,82,43,63,106,42,319,13.5,BOS
Mitchell Marner,R,R,81,27,75,102,14,173,15.6,TOR
Connor McDavid,L,C,67,26,74,100,37,196,13.3,EDM
Kyle Connor,L,L,82,41,56,97,25,267,15.4,WPG
Jack Eichel,R,C,77,28,66,94,8,233,12,VGK
Cale Makar,R,D,80,30,62,92,14,246,12.2,COL
Sidney Crosby,L,C,80,33,58,91,31,227,14.5,PIT
Brandon Hagel,L,L,82,35,55,90,58,228,15.4,TBL
Clayton Keller,L,R,81,30,60,90,28,218,13.8,UTA
Artemi Panarin,R,L,80,37,52,89,16,237,15.6,NYR
Nick Suzuki,R,C,82,30,59,89,8,172,17.4,MTL
Mikko Rantanen,L,R,82,32,56,88,60,212,15.1,"COL,CAR,DAL"
Jesper Bratt,L,L,81,21,67,88,18,180,11.7,NJD
Mark Scheifele,R,C,82,39,48,87,61,181,21.6,WPG
William Nylander,R,R,82,45,39,84,26,253,17.8,TOR
Martin Necas,R,C,79,27,56,83,16,194,13.9,"CAR,COL"
Brayden Point,R,C,77,42,40,82,7,189,22.2,TBL
Matt Duchene,L,C,82,30,52,82,12,152,19.7,DAL
Dylan Strome,L,C,82,29,53,82,34,149,19.5,WSH
Zach Werenski,L,D,81,23,59,82,31,298,7.7,CBJ
Sam Reinhart,R,C,79,39,42,81,27,213,18.3,FLA
Robert Thomas,R,C,70,21,60,81,20,145,14.5,STL
Jake Guentzel,L,C,80,41,39,80,24,217,18.9,TBL
Jason Robertson,L,L,82,35,45,80,18,211,16.6,DAL
Lucas Raymond,R,L,82,27,53,80,18,192,14.1,DET
Tim Stützle,L,C,82,24,55,79,46,162,14.8,OTT
Auston Matthews,L,C,67,33,45,78,20,261,12.6,TOR
Filip Forsberg,R,L,82,31,45,76,44,281,11,NSH
Travis Konecny,R,R,82,24,52,76,53,188,12.8,PHI
Quinn Hughes,L,D,68,16,60,76,29,192,8.3,VAN
John Tavares,L,C,75,38,36,74,46,200,19,TOR
Kirill Marchenko,R,R,79,31,43,74,20,207,15,CBJ
Sebastian Aho,L,C,79,29,45,74,46,207,14,CAR
Alex Ovechkin,R,L,65,44,29,73,14,237,18.6,WSH
Adrian Kempe,L,R,81,35,38,73,36,237,14.8,LAK
Matt Boldy,L,L,82,27,46,73,51,271,10,MIN
Tage Thompson,R,C,76,44,28,72,35,242,18.2,BUF
Wyatt Johnston,R,C,82,33,38,71,14,202,16.3,DAL
Aleksander Barkov,L,C,67,20,51,71,16,149,13.4,FLA
Alex DeBrincat,R,R,82,39,31,70,29,244,16,DET
Cole Caufield,R,R,82,37,33,70,14,240,15.4,MTL
Jordan Kyrou,R,R,82,36,34,70,20,239,15.1,STL
Rickard Rakell,R,R,81,35,35,70,14,203,17.2,PIT
Dylan Larkin,L,C,82,30,40,70,40,234,12.8,DET
Jack Hughes,L,C,62,27,43,70,18,229,11.8,NJD
J.T. Miller,L,C,72,22,48,70,55,137,16.1,"VAN,NYR"
Nico Hischier,L,C,75,35,34,69,20,187,18.7,NJD
JJ Peterka,L,R,77,27,41,68,34,173,15.6,BUF
Drake Batherson,R,R,82,26,42,68,30,192,13.5,OTT
Rasmus Dahlin,L,D,73,17,51,68,54,200,8.5,BUF
Alex Tuch,R,R,82,36,31,67,47,196,18.4,BUF
Nazem Kadri,L,C,82,35,32,67,72,279,12.5,CGY
Seth Jarvis,R,C,73,32,35,67,16,204,15.7,CAR
Roope Hintz,L,C,76,28,39,67,30,160,17.5,DAL
Connor Bedard,R,C,82,23,44,67,70,195,11.8,CHI
Anze Kopitar,L,C,81,21,46,67,4,98,21.4,LAK
Mark Stone,R,R,66,19,48,67,14,131,14.5,VGK
Evan Bouchard,R,D,82,14,53,67,32,235,6,EDM
Aliaksei Protas,L,C,76,30,36,66,18,142,21.1,WSH
Mikael Granlund,L,C,83,22,44,66,28,169,13,"SJS,DAL"
Pierre-Luc Dubois,L,L,82,20,46,66,76,142,14.1,WSH
Victor Hedman,L,D,79,15,51,66,30,181,8.3,TBL
Lane Hutson,L,D,82,6,60,66,34,91,6.6,MTL
Tom Wilson,R,R,81,33,32,65,100,169,19.5,WSH
Bryan Rust,R,R,71,31,34,65,18,191,16.2,PIT
Logan Cooley,L,C,75,25,40,65,46,158,15.8,UTA
Dylan Holloway,L,L,77,26,37,63,10,178,14.6,STL
Matvei Michkov,L,R,80,26,37,63,46,199,13.1,PHI
Macklin Celebrini,L,C,70,25,38,63,28,236,10.6,SJS
Nikolaj Ehlers,L,L,69,24,39,63,17,174,13.8,WPG
Nick Schmaltz,R,C,82,20,43,63,14,186,10.8,UTA
Ryan Donato,L,C,80,31,31,62,41,182,17,CHI
Jonathan Huberdeau,L,L,81,28,34,62,34,153,18.3,CGY
Mika Zibanejad,R,C,82,20,42,62,22,183,10.9,NYR
Josh Morrissey,L,D,80,14,48,62,22,172,8.1,WPG
Tomas Hertl,L,C,73,32,29,61,20,177,18.1,VGK
Gabriel Vilardi,R,C,71,27,34,61,14,130,20.8,WPG
Jared McCann,L,L,82,22,39,61,18,202,10.9,SEA
Adam Fox,R,D,74,10,51,61,32,135,7.4,NYR
Kevin Fiala,L,L,81,35,25,60,38,244,14.3,LAK
Dylan Guenther,R,R,70,27,33,60,26,204,13.2,UTA
Marco Rossi,L,C,82,24,36,60,26,136,17.7,MIN
Anthony Cirelli,L,C,80,27,32,59,28,160,16.9,TBL
Vincent Trocheck,R,C,82,26,33,59,44,202,12.9,NYR
Patrick Kane,L,R,72,21,38,59,12,175,12,DET
Matthew Knies,L,L,78,29,29,58,43,152,19.1,TOR
William Eklund,L,L,77,17,41,58,29,151,11.3,SJS
Teuvo Teravainen,L,C,82,15,43,58,12,111,13.5,CHI
Morgan Geekie,R,C,77,33,24,57,22,150,22,BOS
Bo Horvat,L,C,81,28,29,57,16,243,11.5,NYI
Connor McMichael,L,C,82,26,31,57,49,177,14.7,WSH
Kent Johnson,L,C,68,24,33,57,16,123,19.5,CBJ
Matthew Tkachuk,L,L,52,22,35,57,54,156,14.1,FLA
Pavel Buchnevich,L,L,76,20,37,57,23,145,13.8,STL
Sean Monahan,L,C,54,19,38,57,20,128,14.8,CBJ
Jake Sanderson,L,D,80,11,46,57,12,195,5.6,OTT
Shea Theodore,L,D,67,7,50,57,26,128,5.5,VGK
Brock Nelson,L,C,80,26,30,56,18,193,13.5,"NYI,COL"
Kirill Kaprizov,L,L,41,25,31,56,16,145,17.2,MIN
Jonathan Marchessault,R,R,78,21,35,56,37,206,10.2,NSH
Brady Tkachuk,L,L,72,29,26,55,123,296,9.8,OTT
Troy Terry,R,R,77,21,34,55,20,188,11.2,ANA
Adam Fantilli,L,C,82,31,23,54,18,191,16.2,CBJ
Tyler Toffoli,R,C,78,30,24,54,14,233,12.9,SJS
Anders Lee,L,L,82,29,25,54,35,233,12.5,NYI
Quinton Byfield,L,R,81,23,31,54,46,157,14.7,LAK
Mats Zuccarello,L,R,69,19,35,54,22,151,12.6,MIN
Steven Stamkos,R,C,82,27,26,53,48,174,15.5,NSH
Timo Meier,L,R,80,26,27,53,58,239,10.9,NJD
Ryan O'Reilly,L,C,79,21,32,53,24,151,13.9,NSH
Jason Zucker,L,L,73,21,32,53,57,143,14.7,BUF
Carter Verhaeghe,L,C,81,20,33,53,46,242,8.3,FLA
Ryan McLeod,L,C,79,20,33,53,16,97,20.6,BUF
Mikhail Sergachev,L,D,77,15,38,53,32,132,11.4,UTA
Erik Karlsson,R,D,82,11,42,53,20,191,5.8,PIT
Pavel Dorofeyev,L,R,82,35,17,52,30,254,13.8,VGK
Mason McTavish,L,C,76,22,30,52,38,180,12.2,ANA
Sam Bennett,L,C,76,25,26,51,90,241,10.4,FLA
Brad Marchand,L,L,71,23,28,51,64,194,11.9,"BOS,FLA"
